# optimizer, run, time, accuracy
0.000000000000000000e+00,0.000000000000000000e+00,2.287496532736591689e+03,5.656213704994193137e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.281028960763057057e+03,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.272308849611289588e+03,4.860627177700348511e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.266149091985221276e+03,7.685830429732868652e+01
1.000000000000000000e+00,1.000000000000000000e+00,2.261696503518463942e+03,4.878048780487804947e+01
1.000000000000000000e+00,2.000000000000000000e+00,2.271551702775175727e+03,7.964576074332171629e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.274035760463229963e+03,4.860627177700348511e+01
2.000000000000000000e+00,1.000000000000000000e+00,2.266287055823011542e+03,4.860627177700348511e+01
2.000000000000000000e+00,2.000000000000000000e+00,2.268018863783447159e+03,4.860627177700348511e+01
