# counter, batch_size, img_size, random_background, gpu_used, ii, end-start, accuracy
0.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129288453727186123e+02,4.911070780399273872e+01
1.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.089056077605480368e+02,5.030852994555353774e+01
2.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.084052940754823737e+02,5.030852994555353774e+01
3.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.449675221610476683e+01,5.789473684210526017e+01
4.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.286844819759090797e+01,5.539019963702359206e+01
5.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,6.296710675873555374e+01,5.103448275862069039e+01
