# optimizer, run, epoch, accuracy
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.627177700348432410e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.601045296167247045e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,5.339721254355400504e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,5.162601626016260070e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.148083623693379707e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000000e+01,6.390824622531939525e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,5.865272938443670370e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,6.144018583042973347e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,5.972706155632985059e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,5.545876887340301664e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01,5.778164924506388189e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01,4.869337979094076729e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,6.056910569105691167e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,5.293263646922183341e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,5.441347270615563048e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,6.611498257839721759e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.569105691056910246e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,5.052264808362369308e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,6.100464576074332257e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+01,5.940766550522648259e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,4.869337979094076729e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.900000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,5.130662020905923271e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.300000000000000000e+01,5.316492450638791922e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.700000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,5.156794425087107925e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,5.470383275261323774e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,5.130662020905923271e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+01,5.142276422764227561e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000000e+01,5.995934959349593640e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+01,5.476190476190475920e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,5.142276422764227561e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,5.795586527293844625e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.900000000000000000e+01,5.252613240418118323e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.100000000000000000e+01,6.411149825783972744e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.200000000000000000e+01,6.596980255516841396e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.300000000000000000e+01,6.686991869918699649e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e+01,5.177119628339140434e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.700000000000000000e+01,5.171312427409988288e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+01,5.136469221835075416e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.200000000000000000e+01,5.136469221835075416e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.300000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,5.467479674796747702e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.500000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.600000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.700000000000000000e+01,6.199186991869918728e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.800000000000000000e+01,5.142276422764227561e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.900000000000000000e+01,5.150987224157955779e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+01,5.272938443670150832e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.100000000000000000e+01,5.299070847851335486e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,5.142276422764227561e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.300000000000000000e+01,4.941927990708478546e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000000e+01,5.304878048780487632e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,5.037746806039488945e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.900000000000000000e+01,5.432636469221834830e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.656213704994193137e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,5.153890824622531852e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,5.162601626016260070e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01,4.907084785133565674e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01,5.351335656213704794e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01,5.211962833914053306e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.600000000000000000e+01,6.483739837398374561e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.700000000000000000e+01,6.373403019744483089e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.800000000000000000e+01,5.801393728222996771e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+01,6.666666666666667140e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.100000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.200000000000000000e+01,6.132404181184669056e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.300000000000000000e+01,5.191637630662020797e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.400000000000000000e+01,6.123693379790940838e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+01,5.659117305458769209e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000000e+01,5.307781649245063704e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.900000000000000000e+01,5.961091753774680768e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.200000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.300000000000000000e+01,5.783972125435540335e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.600000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,3.900000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.200000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.300000000000000000e+01,6.602787456445993541e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.400000000000000000e+01,6.594076655052265323e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.500000000000000000e+01,5.133565621370499343e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.600000000000000000e+01,5.284552845528455123e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.800000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.900000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,5.978513356562137204e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+01,6.178861788617886219e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.200000000000000000e+01,6.750871080139373248e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.300000000000000000e+01,6.855400696864111865e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,5.879790940766550733e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,5.873983739837398588e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,7.270615563298490258e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.800000000000000000e+01,7.653890824622531852e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,5.136469221835075416e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.200000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,6.283391405342624836e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,5.145180023228803634e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.600000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.800000000000000000e+01,5.142276422764227561e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.900000000000000000e+01,5.200348432055749015e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+01,5.275842044134726905e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.200000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.300000000000000000e+01,5.789779326364692480e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e+01,5.150987224157955779e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.600000000000000000e+01,5.223577235772357596e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.700000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.900000000000000000e+01,6.001742160278745786e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.200000000000000000e+01,5.476190476190475920e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.300000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.400000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.500000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.600000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.800000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,8.900000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+01,5.148083623693379707e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.100000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.200000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.300000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,5.380371660859465521e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.600000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.800000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,9.900000000000000000e+01,5.133565621370499343e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+00,5.635888501742160628e+01
0.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,5.932055749128920041e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.200000000000000000e+01,5.749128919860627462e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+01,5.142276422764227561e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01,5.142276422764227561e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.600000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,5.662020905923345282e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.900000000000000000e+01,4.898373983739837456e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.100000000000000000e+01,6.077235772357723675e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.200000000000000000e+01,5.879790940766550733e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.300000000000000000e+01,5.304878048780487632e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e+01,5.464576074332171629e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.600000000000000000e+01,5.238095238095237960e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.700000000000000000e+01,5.798490127758420698e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.800000000000000000e+01,5.888501742160278951e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.900000000000000000e+01,5.865272938443670370e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.100000000000000000e+01,6.051103368176539021e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.200000000000000000e+01,5.479094076655051992e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.300000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.500000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.600000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.700000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,3.900000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.100000000000000000e+01,5.752032520325203535e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.200000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.300000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.500000000000000000e+01,5.171312427409988288e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.700000000000000000e+01,6.042392566782810803e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.800000000000000000e+01,6.202090592334494801e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.900000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,5.830429732868757497e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.100000000000000000e+01,6.730545876887340739e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.200000000000000000e+01,5.145180023228803634e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.300000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.500000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.600000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.700000000000000000e+01,5.139372822299651489e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.900000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.100000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01,5.040650406504065018e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.300000000000000000e+01,5.284552845528455123e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.400000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.500000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.600000000000000000e+01,5.772357723577236044e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.700000000000000000e+01,6.077235772357723675e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.800000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.900000000000000000e+01,5.998838559814169713e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.100000000000000000e+01,6.109175377468060475e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.200000000000000000e+01,5.444250871080139120e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.300000000000000000e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.400000000000000000e+01,5.249709639953542251e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.500000000000000000e+01,5.749128919860627462e+01
0.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,5.961091753774680768e+01
