# use_gpu,use_tracing,duration
1.000000000000000000e+00,1.000000000000000000e+00,3.280277722500731241e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.012991831550605681e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.011234647250712548e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.025296217650555397e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.025825625740905467e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.029147140974446317e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.024066734774056242e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.035560454068983671e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.035284315355191664e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.042812423306653302e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.064272394969154933e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.064444085665123052e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.063967584250466503e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.063495520169901509e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.067843766245339165e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.258276054745781691e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.612097469797973193e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.068350646331843790e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.062639797357192495e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.073684321908793038e-01
0.000000000000000000e+00,1.000000000000000000e+00,3.133508118785385044e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.062391545581489627e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.926732309628980122e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.963981135186114280e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.950678758515843381e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.959256227713063847e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.970122951700983727e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.914948934817948700e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.019544647602282250e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.931290339206884532e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.938473222566096776e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.931887228908755194e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.912283121029651145e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.908258766209496748e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.929842641893145583e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.943398970606756482e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.912626195221537095e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.925417834737982226e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.979895872835561565e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.374470378576279295e+00
