# counter, batch_size, img_size, random_background, gpu_used, ii, end-start, accuracy
0.000000000000000000e+00,2.560000000000000000e+02,2.240000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.399883106966717037e+02,7.970961887477314178e+01
1.000000000000000000e+00,2.560000000000000000e+02,2.240000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.362642135490924602e+02,8.050816696914701254e+01
2.000000000000000000e+00,2.560000000000000000e+02,2.240000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.357960765091970075e+02,8.206896551724138078e+01
3.000000000000000000e+00,2.560000000000000000e+02,2.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.561338925625843331e+03,8.185117967332124067e+01
4.000000000000000000e+00,2.560000000000000000e+02,2.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.543121811988789204e+03,7.949183303085298746e+01
5.000000000000000000e+00,2.560000000000000000e+02,2.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.567426167368731967e+03,8.000000000000000000e+01
