# run, num_workers,duration, accuracy
0.000000000000000000e+00,2.000000000000000000e+00,4.881882883091988390e+01,5.139372822299651489e+01
0.000000000000000000e+00,3.000000000000000000e+00,4.007930912779791299e+01,5.139372822299651489e+01
0.000000000000000000e+00,4.000000000000000000e+00,3.910767528829008199e+01,5.139372822299651489e+01
1.000000000000000000e+00,2.000000000000000000e+00,4.008988465665967738e+01,5.139372822299651489e+01
1.000000000000000000e+00,3.000000000000000000e+00,3.963011078312774771e+01,5.139372822299651489e+01
1.000000000000000000e+00,4.000000000000000000e+00,3.910112885740733191e+01,5.139372822299651489e+01
2.000000000000000000e+00,2.000000000000000000e+00,4.012945166857355161e+01,5.139372822299651489e+01
2.000000000000000000e+00,3.000000000000000000e+00,3.904123374229607180e+01,5.139372822299651489e+01
2.000000000000000000e+00,4.000000000000000000e+00,3.935754933631159247e+01,5.139372822299651489e+01
