# num_worker, time
2.000000000000000000e+00,2.797681015862439935e+01
2.000000000000000000e+00,1.925674645218194314e+01
2.000000000000000000e+00,1.946303667830841277e+01
3.000000000000000000e+00,1.901973384196540451e+01
3.000000000000000000e+00,1.959490976513538385e+01
3.000000000000000000e+00,1.891205616434240255e+01
4.000000000000000000e+00,1.861836994246482391e+01
4.000000000000000000e+00,1.883965084336625750e+01
4.000000000000000000e+00,1.889818574537628137e+01
