# optimizer, run, time, accuracy
0.000000000000000000e+00,0.000000000000000000e+00,1.159045677218871106e+03,6.085946573751451893e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.156364704364423460e+03,8.005226480836236647e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.147343518832039535e+03,7.874564459930313376e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.134677558497696737e+03,4.860627177700348511e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.152065410378169872e+03,5.139372822299651489e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.157897064806900744e+03,4.860627177700348511e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.153392982460931307e+03,4.860627177700348511e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.147934480395181708e+03,6.315331010452961635e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.138607235651032170e+03,6.524390243902439579e+01
