# federated, time
0.000000000000000000e+00,5.220535497295274752e+01
0.000000000000000000e+00,5.204845567173023824e+01
0.000000000000000000e+00,5.256331049586168547e+01
1.000000000000000000e+00,2.917901018811559766e+01
1.000000000000000000e+00,2.139432219403568070e+01
1.000000000000000000e+00,2.123370167744826631e+01
