# counter, batch_size, img_size, random_background, gpu_used, ii, end-start, accuracy
0.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.108393263451081765e+02,5.103448275862069039e+01
1.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.115155299707477639e+02,6.424682395644282451e+01
2.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.049208916301724628e+02,5.564428312159709833e+01
3.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.239200905215227522e+01,5.005444646098003858e+01
4.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.246860316279196468e+01,6.624319419237750139e+01
5.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,6.276349443115145732e+01,5.201451905626134220e+01
