# use_gpu,use_tracing,duration
0.000000000000000000e+00,0.000000000000000000e+00,5.652812413600074443e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.346703576146282638e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.403310247841924124e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.318524485525770451e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.263497503148797940e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.296123480641295317e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.474089067443990708e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.724706709583607389e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.657946062552696165e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.246985175905983373e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.358344398212779025e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.244016943772215888e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.251234089613575351e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.371567640262284865e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.300747860695168012e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.241713628404369441e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.414499144960729232e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.288289204659875342e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.257638862814843772e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.272097730476602018e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.240621362669770772e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.243087152565621689e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.228650130218568531e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.217433926456365584e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.232731108069458431e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.400400724991385321e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.226277182910138430e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.209220088132184706e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.208762701855818023e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.270213572084429809e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.265456754810230594e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.246212397898744606e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.209842679600910909e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.281898084780323188e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.209258317432897967e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.279904699814665092e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.315516658759122243e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.291124999573327409e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.251601363966841574e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.290083251128947783e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.278098365356072297e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.306527311763346855e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.280856336335915807e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.337402933416143802e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.224029846161215573e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.359007949646553415e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.227856872228784507e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.235091767388325851e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.331724516928432189e-02
0.000000000000000000e+00,1.000000000000000000e+00,5.323546177240587318e-02
1.000000000000000000e+00,0.000000000000000000e+00,9.126938345012604314e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.289137758602464684e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.160184865975566360e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.126698729217082723e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.391899484245755103e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.228399591765651111e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.292045916120798554e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.250837460618697716e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.196053507367650953e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.200598698155772609e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.232292153777393595e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.273701313108176775e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.207436281654395455e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.240209715021080877e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.203691175516837547e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.218943301168394389e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.211402571603116429e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.208610467319090498e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.219027951762825690e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.197528066109385003e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.206927012755613815e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.222117698459555701e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.280618085872561068e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.217777307496703432e-02
1.000000000000000000e+00,0.000000000000000000e+00,4.197978625724885920e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.200449876949449018e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.144155866320318321e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.175629503462800762e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.184418146629866747e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.271107181988554463e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.210328055186721152e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.278238311903294344e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.284866999580174557e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.253715580829350862e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.229647505367495341e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.256145872088836629e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.314986227211761727e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.253323730497072380e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.258873805760970271e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.290341981574840452e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.271519512303314364e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.248418092016550268e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.239599411541860458e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.261283617037975313e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.300435882294720985e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.243595738798319750e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.241213234164718099e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.283482552761540968e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.253849383381862193e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.267816731463028312e-02
