# optimizer, run, time, accuracy
0.000000000000000000e+00,0.000000000000000000e+00,2.357980167171388075e+01,4.860627177700348511e+01
0.000000000000000000e+00,1.000000000000000000e+00,2.305910834191217873e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.400081919986018875e+01,5.165505226480836143e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.341663310222793370e+01,5.139372822299651489e+01
1.000000000000000000e+00,1.000000000000000000e+00,2.308498174549646365e+01,4.860627177700348511e+01
1.000000000000000000e+00,2.000000000000000000e+00,2.345832832711198535e+01,5.139372822299651489e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.340769358375365528e+01,5.139372822299651489e+01
2.000000000000000000e+00,1.000000000000000000e+00,2.356340675184520705e+01,5.139372822299651489e+01
2.000000000000000000e+00,2.000000000000000000e+00,2.361565156426217982e+01,4.860627177700348511e+01
