# optimizer, run, time, accuracy
0.000000000000000000e+00,0.000000000000000000e+00,6.923087748593025026e+01,5.139372822299651489e+01
0.000000000000000000e+00,1.000000000000000000e+00,7.020651379942160020e+01,4.860627177700348511e+01
0.000000000000000000e+00,2.000000000000000000e+00,6.964511511123373566e+01,4.860627177700348511e+01
1.000000000000000000e+00,0.000000000000000000e+00,6.986459718577532385e+01,4.860627177700348511e+01
1.000000000000000000e+00,1.000000000000000000e+00,7.038202702813407541e+01,5.139372822299651489e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.906917289486113987e+01,5.139372822299651489e+01
2.000000000000000000e+00,0.000000000000000000e+00,6.941861658988943873e+01,4.860627177700348511e+01
2.000000000000000000e+00,1.000000000000000000e+00,6.985229792387451653e+01,5.139372822299651489e+01
2.000000000000000000e+00,2.000000000000000000e+00,6.955546290253437292e+01,5.139372822299651489e+01
